sku,zipcode,store_id
https://www.lowes.com/pd/Purdy/5013825671,,
https://www.lowes.com/pd/Purdy-Pro-Extra-Sprig-Natural-Bristle-Flat-3-in-Paint-Brush/999971690,,
https://www.lowes.com/pd/Purdy-XL-Sprig-Nylon-Polyester-Blend-Flat-2-5-in-Paint-Brush/1000506173,,
https://www.lowes.com/pd/Marshalltown-5-in-Natural-and-Synthetic-Stippling-Faux-Finish-Paint-Brush/1000204387,,
https://www.lowes.com/pd/Project-Source/5013767129,,
https://www.lowes.com/pd/Zibra-Polyester-Angle-1-25-in-Paint-Brush/3727325,,
https://www.lowes.com/pd/Project-Source/5013825919,,
https://www.lowes.com/pd/Valspar-Natural-Bristle-Polyester-Blend-Angle-2-in-Paint-Brush/1000514781,,
https://www.lowes.com/pd/Purdy-Syntox-Flat-Nylon-Angle-2-in-Paint-Brush/999972050,,
https://www.lowes.com/pd/Purdy-White-Bristle-Sprig-Natural-Bristle-Flat-2-5-in-Paint-Brush/999971928,,
https://www.lowes.com/pd/DRYLOK-DRYLOK-Brush/5001756561,,
https://www.lowes.com/pd/Purdy/5014001967,,
https://www.lowes.com/pd/Purdy-White-Bristle-3-in-Natural-Bristle-Flat-Paint-Brush/5015018199,,
https://www.lowes.com/pd/Purdy/5013825675,,
https://www.lowes.com/pd/Project-Source/5013825925,,
https://www.lowes.com/pd/Purdy-Nylox-Sprig-Nylon-Flat-2-in-Paint-Brush/999971758,,
https://www.lowes.com/pd/Project-Source/5013767123,,
https://www.lowes.com/pd/Zibra-1-Zibra-Paint-Brush-Common-Actual/1003016464,,
https://www.lowes.com/pd/Purdy/5013825689,,
https://www.lowes.com/pd/Project-Source/5013825923,,
https://www.lowes.com/pd/Purdy-1-Paint-Brush-Common-Actual/5001572255,,
https://www.lowes.com/pd/Valspar/5013494467,,
https://www.lowes.com/pd/Purdy-Chinex-Sprig-Chinex-Flat-3-in-Paint-Brush/1001106066,,
https://www.lowes.com/pd/Purdy-White-Bristle-Sprig-2-in-Reusable-Natural-Bristle-Flat-Paint-Brush-Trim-Brush/5015018201,,
https://www.lowes.com/pd/Purdy-1-Paint-Brush-Common-Actual/5001572253,,
https://www.lowes.com/pd/Purdy-White-Bristle-2-1-2-in-Reusable-Natural-Bristle-Angle-Paint-Brush-Trim-Brush/5015018205,,
https://www.lowes.com/pd/Purdy-XL-High-Capacity-Nylon-Polyester-Blend-Angle-3-in-Paint-Brush/1000897250,,
https://www.lowes.com/pd/WHIZZ-WEDGE-Trim-and-Walls-Polyester-Angle-1-5-in-Paint-Brush/1000018715,,
https://www.lowes.com/pd/Magnolia-Home-1-3-4-in-Reusable-Natural-Bristle-Round-Paint-Brush-Chalk-and-Wax-Brush/5014873607,,
https://www.lowes.com/pd/ACTION-1-12-Pack-Paint-Brush-Common-Actual/5000915911,,
https://www.lowes.com/pd/Blue-Hawk-Natural-Bristle-Polyester-Blend-Round-3-in-Paint-Brush/1000608387,,
https://www.lowes.com/pd/WHIZZ-WEDGE-Trim-and-Walls-Polyester-Angle-2-5-in-Paint-Brush/1000018709,,
https://www.lowes.com/pd/Project-Source-Polyester-Flat-4-in-Paint-Brush/50369840,,
https://www.lowes.com/pd/Valspar-Polyester-Flat-2-5-in-Paint-Brush/1002276892,,
